number,nmck,final_price,drop_pct,winner_id,has_result
0818500000826003704,1084000.0,1056900.0,2.5,121409385,1
0372200011026000063,2394000.0,2382030.0,0.5,3327976,1
0311100018126000010,15400000.22,14476000.22,6.0,2389433,1
0372200044026000051,1700678.67,1300988.54,23.5,121266162,1
0360300298226000057,91507.67,76865.25,16.0,42,1
0319300010126000318,13248727.82,10135276.74,23.5,1,1
0360300298226000056,91507.67,80983.25,11.5,40,1
0365100014826000324,1011625.93,713196.26,29.5,121446487,1
0311200014626000076,1900000000.0,1890500000.0,0.5,2390402,1
0360300298226000055,91507.67,80983.09,11.5,30,1
0116300005626000172,1250939.98,788092.18,37.0,169,1
0369100040226000399,2998454.3,1688521.0,43.69,121438915,1
0372200131726000545,4544500.0,3294762.5,27.5,121432072,1
0145200000426000888,3994830.0,1770371.56,55.68,73,1
0119200000126009090,379721.66,220238.48,42.0,2,1
0360300298226000053,444943.31,442718.59,0.5,20,1
0320200014926000092,129016.0,108000.0,16.29,121434864,1
0819600006026000150,43578.0,16777.53,61.5,121403057,1
0372200011026000058,684583.46,356000.0,48.0,121431930,1
0817200000326008599,2425371.0,2413244.14,0.5,121403175,1
0360300298226000052,514593.31,411674.51,20.0,50,1
0145200000426000746,193438.88,122222.22,36.82,49,1
0860200000826004886,1518944.65,1017692.47,33.0,3318598,1
0833600000826000470,575000.0,483750.0,15.87,91,1
0711200018026000001,5363417.52,4478453.55,16.5,2387353,1
0335100016126000108,1553700.0,1545931.5,0.5,1,1
0372200031626000043,19557300.0,11245447.5,42.5,3311107,1
0846600001926000101,2262335.4,1894388.32,16.26,8,1
0818500000826002624,61232661.0,53890500.0,11.99,121173015,1
0846600001226000049,430896.69,366262.29,15.0,162,1
0321100031826000027,2790758.6,990718.47,64.5,3307464,1
0340200003326007041,1941602.69,1490047.0,23.26,55,1
0846600001226000061,852833.34,848569.17,0.5,59,1
0342100000126000018,149808.0,94000.0,37.25,215,1
0366200035626003689,3893062.0,993857.55,74.47,121387197,1
0373100006526000010,974916.0,711688.68,27.0,1,1
0846600001226000059,1822502.68,1622027.46,11.0,162,1
0368200016726000011,371230.0,350812.35,5.5,128,1
0164200001926001975,7651463.95,5269638.77,31.13,3,1
0377300038626000013,859777.5,692120.79,19.5,121415262,1
0846600001226000065,692720.4,301333.6,56.5,173,1
0846600001226000066,484848.27,237575.79,51.0,200,1
0846600001226000057,3247499.97,3232840.35,0.45,84,1
0190200000326006248,126165.73,90700.0,28.11,32,1
0352200022726000365,483572.0,5560.21,98.85,176,1
0348100099826000027,750000.0,602735.0,19.64,121356631,1
0340200003326007069,2329526.41,2114000.0,9.25,136,1
0372200064126000005,76735.0,14500.0,81.1,121327691,1
0340200003326007028,1760745.6,1210120.0,31.27,172,1
0328300032826000357,830735.62,615574.64,25.9,3293073,1
0358200031126000004,1204300.0,1138063.5,5.5,121329786,1
0168300013026000294,828316.3,393449.35,52.5,121362515,1
0328300032826000342,3802877.67,2070000.0,45.57,3269129,1
0372200240826000001,2822650.0,1538344.25,45.5,2356530,1
0373100006526000009,1868227.0,1793497.96,4.0,2,1
0172200004726000105,38887240.0,28800000.0,25.94,3281945,1
0177200000926001605,5170156.81,3235000.0,37.43,246,1
0372200240126000031,657226.96,635842.0,3.25,3277247,1
0369100026826000015,796000.0,686020.0,13.82,3278955,1
0372200166626000016,9999456.0,9499483.2,5.0,2,1
0328300032826000360,1315926.85,987654.32,24.95,3277038,1
0372500002526000017,155253.37,78200.0,49.63,121316727,1
0320400000126000020,769670.0,638826.1,17.0,3279835,1
0869200000226004500,3932788.82,2400000.0,38.97,10,1
0351100010526000046,1350000.0,654750.0,51.5,121339808,1
0168300013026000286,782525.66,449952.11,42.5,121312439,1
0345200004526000003,882836.07,881836.0,0.11,11,1
0369300352426000007,1259926.67,1253627.03,0.5,121317762,1
0801300017426000019,1627536.89,984660.05,39.5,4,1
0846600001226000048,4013785.0,3913440.35,2.5,114,1
0813500000126009599,1797810.0,974013.0,45.82,121327657,1
0190200000326005789,2400000.0,1640000.0,31.67,121306606,1
0846600001226000045,2405990.24,2129301.39,11.5,164,1
0187300013226000016,1205694.02,1199000.0,0.56,121296668,1
0338100001826000091,11120000.0,8044600.0,27.66,108,1
0819600006026000129,224357.35,108812.98,51.5,121305911,1
0139200000126006255,2850117.6,2180000.0,23.51,121321758,1
0846600001226000041,1161096.62,968279.11,16.61,65,1
0813500000126009333,4599000.0,3679200.0,20.0,121307481,1
0813500000126009332,1075620.0,672000.0,37.52,121309051,1
0813500000126009336,5391750.0,3605000.7,33.14,121311669,1
0813500000126009337,3145800.0,2137000.0,32.07,121308912,1
